,Marca,Modelo,Año,Combustible,CV,Cilindros,Transmisión,Tracción,Puertas,Mercado,Tamaño,Estilo,Consumo Carretera,Consumo Ciudad,Popularidad,Precio
0,0.0,1.0,2011,1.0,335.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,19.0,1.0,46135.0
1,0.0,0.0,2011,1.0,300.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,19.0,1.0,40650.0
2,0.0,0.0,2011,1.0,300.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,20.0,1.0,36350.0
3,0.0,0.0,2011,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,18.0,1.0,29450.0
4,0.0,0.0,2011,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,18.0,1.0,34500.0
5,0.0,0.0,2012,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,18.0,1.0,31200.0
6,0.0,0.0,2012,1.0,300.0,6.0,1.0,1.0,2,1.0,0.0,1.0,26.0,17.0,1.0,44100.0
7,0.0,0.0,2012,1.0,300.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,20.0,1.0,39300.0
8,0.0,0.0,2012,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,18.0,1.0,36900.0
9,0.0,0.0,2013,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,27.0,18.0,1.0,37200.0
10,0.0,0.0,2013,1.0,300.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,20.0,1.0,39600.0
11,0.0,0.0,2013,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,19.0,1.0,31500.0
12,0.0,0.0,2013,1.0,300.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,19.0,1.0,44400.0
13,0.0,0.0,2013,1.0,230.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,19.0,1.0,37200.0
15,0.0,0.0,2013,1.0,320.0,6.0,1.0,1.0,2,1.0,0.0,1.0,25.0,18.0,1.0,48250.0
16,0.0,0.0,2013,1.0,320.0,6.0,1.0,1.0,2,1.0,0.0,1.0,28.0,20.0,1.0,43550.0
32,0.0,1.0,2017,1.0,160.0,4.0,1.0,1.0,2,1.0,0.0,1.0,35.0,26.0,0.20487804878048782,27495.0
33,0.0,1.0,2017,1.0,160.0,4.0,1.0,1.0,2,1.0,0.0,1.0,35.0,26.0,0.20487804878048782,24995.0
34,0.0,1.0,2017,1.0,160.0,4.0,1.0,1.0,2,1.0,0.0,1.0,35.0,26.0,0.20487804878048782,28195.0
41,0.0,1.0,2016,1.0,240.0,4.0,1.0,1.0,2,1.0,0.0,1.0,35.0,23.0,1.0,32850.0
42,0.0,1.0,2016,1.0,240.0,4.0,1.0,1.0,2,1.0,0.0,1.0,34.0,23.0,1.0,38650.0
43,0.0,1.0,2016,1.0,320.0,6.0,1.0,1.0,2,1.0,0.0,1.0,31.0,20.0,1.0,48750.0
44,0.0,1.0,2016,1.0,240.0,4.0,1.0,0.0,2,1.0,0.0,1.0,35.0,23.0,1.0,34850.0
45,0.0,1.0,2016,1.0,240.0,4.0,1.0,0.0,2,1.0,0.0,1.0,34.0,22.0,1.0,40650.0
46,0.0,1.0,2016,1.0,320.0,6.0,1.0,1.0,2,1.0,0.0,1.0,31.0,20.0,1.0,44150.0
47,0.0,1.0,2016,1.0,240.0,4.0,1.0,1.0,2,1.0,0.0,1.0,34.0,22.0,1.0,32850.0
